Index;Start Time;End Time;Query Granularity;Subnetwork;Subnetwork Name;ManagedElement;ManagedElement Name;Cell;Cell Name;eNodeB;eNodeB Name;Product;LTE PS Traffic;[FDD]Mean RRC-Connected User Number;Average DL Active E-RAB Number;Average UL Active E-RAB Number;[LTE]PDSCH PRB Utilization Rate;[FDD]PUSCH PRB Utilization Rate;LTE DL User throughput;LTE UL User throughput;[LTE]Average CQI;%CQI<7;%RI2_TM4;LTE RTWP;Maximum Cell Transmit Power(W);~TA Average m;[LTE] RSRP_average;[LTE] %RSRP<-116;SINR_PUSCH_Average;SINR_PUSCH<=-2;[LTE] RSRQ_Average;[LTE] %RSRQ<=-12;[FDD]Cell Downlink BLER;[FDD]Cell Uplink BLER;LTE CSSR;LTE RRC SR;LTE E-RAB SR;LTE S1SIG SR;LTE Call Drop;LTE CSFB SR;LTE Inter-Fre HOSR;LTE Intra-Fre HOSR
2015;10/06/2023 00:00;11/06/2023 00:00;1Day(s);3013;RNC2013(3013);4287;MAD0001_SECTOR 01;1;MAD0001B4G01;310001;MAD0001B4G;LTE FDD;73424.9843;16.8032;5.4359;5.0276;53.47%;12.48%;4350.0604;2692.8477;9.0254;23.00%;25.3933;-111.9043;36.812;786.0894;-101.9497;10.4;9.8426;5.2212;-18.1446;99.09%;15.16%;10.60%;99.84%;99.93%;99.9091;100.00%;55;99.94%;98.91%;99.66%
4288;11/06/2023 00:00;12/06/2023 00:00;1Day(s);3013;RNC2013(3013);4287;MAD0001_SECTOR 01;1;MAD0001B4G01;310001;MAD0001B4G;LTE FDD;62545.9604;15.9887;5.1401;4.85;47.38%;12.42%;4876.1231;2950.3773;9.1075;20.98%;24.8563;-112.0662;35.974;942.1819;-103.6795;13.2686;8.9465;7.1437;-18.0739;98.78%;15.12%;10.46%;99.72%;99.95%;99.8828;99.90%;121;100.00%;97.00%;98.82%
6561;12/06/2023 00:00;13/06/2023 00:00;1Day(s);3013;RNC2013(3013);4287;MAD0001_SECTOR 01;1;MAD0001B4G01;310001;MAD0001B4G;LTE FDD;74732.874;19.3686;5.4215;5.1921;52.12%;14.64%;5169.9278;2638.9807;9.5149;19.66%;25.9213;-111.6453;36.728;778.9891;-101.4958;9.2837;8.5536;7.2138;-18.0685;98.79%;15.22%;10.26%;99.75%;99.95%;99.9012;99.90%;139;99.93%;99.26%;99.52%
8833;13/06/2023 00:00;14/06/2023 00:00;1Day(s);3013;RNC2013(3013);4287;MAD0001_SECTOR 01;1;MAD0001B4G01;310001;MAD0001B4G;LTE FDD;67239.7895;16.1968;4.8148;4.5139;48.43%;13.70%;4881.6192;2675.432;9.3281;21.94%;24.2212;-110.7623;36.224;767.3645;-101.3873;8.8866;7.6985;9.6703;-18.2773;99.32%;15.21%;9.59%;99.77%;99.94%;99.8431;99.99%;24;100.00%;98.61%;99.43%
11105;14/06/2023 00:00;15/06/2023 00:00;1Day(s);3013;RNC2013(3013);4287;MAD0001_SECTOR 01;1;MAD0001B4G01;310001;MAD0001B4G;LTE FDD;58282.2838;17.2471;4.9449;4.6815;43.39%;13.03%;5139.428;2918.9735;9.3873;18.34%;23.485;-111.0103;35.809;748.5454;-100.7228;7.1826;9.0185;8.536;-18.0562;98.70%;15.35%;10.12%;99.82%;99.92%;99.9049;99.99%;32;100.00%;97.61%;99.42%
13382;15/06/2023 00:00;16/06/2023 00:00;1Day(s);3013;RNC2013(3013);4287;MAD0001_SECTOR 01;1;MAD0001B4G01;310001;MAD0001B4G;LTE FDD;56984.3623;18.1888;4.8394;4.5956;41.08%;12.35%;5157.009;3072.0778;9.4309;18.23%;24.5499;-111.9753;36.14;761.397;-100.0828;7.5709;10.3827;5.4805;-17.9983;98.95%;15.29%;9.85%;99.87%;99.95%;99.921;100.00%;41;100.00%;98.98%;99.44%
15659;16/06/2023 00:00;17/06/2023 00:00;1Day(s);3013;RNC2013(3013);4287;MAD0001_SECTOR 01;1;MAD0001B4G01;310001;MAD0001B4G;LTE FDD;63186.0241;18.2586;4.6042;4.5413;45.88%;11.60%;5464.8102;3402.2811;9.2415;19.83%;24.9357;-112.2598;35.727;726.6177;-99.5652;7.287;10.6886;5.6429;-18.0743;98.79%;15.32%;10.15%;99.70%;99.93%;99.9142;99.86%;31;100.00%;97.24%;99.59%
2016;10/06/2023 00:00;11/06/2023 00:00;1Day(s);3013;RNC2013(3013);4287;MAD0001_SECTOR 02;2;MAD0001B4G02;310001;MAD0001B4G;LTE FDD;65682.1656;20.4917;6.0139;5.5573;55.54%;16.26%;2733.7776;2449.0536;8.4366;26.20%;27.0266;-113.1698;35.727;469.0193;-105.8079;14.891;7.0309;8.7727;-18.53;99.83%;14.50%;9.42%;99.76%;99.95%;99.8163;99.99%;64;99.95%;99.30%;99.81%
4289;11/06/2023 00:00;12/06/2023 00:00;1Day(s);3013;RNC2013(3013);4287;MAD0001_SECTOR 02;2;MAD0001B4G02;310001;MAD0001B4G;LTE FDD;67798.7482;19.5285;6.1646;5.8678;56.54%;16.35%;3174.2159;2649.7924;8.4429;26.55%;24.8603;-113.5766;36.307;469.4101;-105.7541;13.3567;7.5942;8.773;-18.3713;99.78%;14.73%;10.26%;99.64%;99.88%;99.8331;99.93%;53;100.00%;99.25%;99.91%
6562;12/06/2023 00:00;13/06/2023 00:00;1Day(s);3013;RNC2013(3013);4287;MAD0001_SECTOR 02;2;MAD0001B4G02;310001;MAD0001B4G;LTE FDD;70962.1066;24.8355;7.471;6.8411;60.35%;20.26%;2287.3748;2398.6038;8.4593;25.41%;26.8229;-113.2184;36.14;467.3225;-106.5977;15.9484;6.8407;9.0871;-18.6065;99.88%;14.64%;9.98%;99.51%;99.89%;99.7465;99.87%;50;100.00%;99.31%;99.79%
8834;13/06/2023 00:00;14/06/2023 00:00;1Day(s);3013;RNC2013(3013);4287;MAD0001_SECTOR 02;2;MAD0001B4G02;310001;MAD0001B4G;LTE FDD;77631.0621;22.6266;7.347;6.7468;61.59%;18.73%;2134.3866;2348.2315;8.1933;30.11%;23.8227;-113.2227;36.475;471.382;-107.3926;18.5592;7.1914;8.2538;-18.6323;99.78%;14.69%;10.11%;99.67%;99.90%;99.788;99.98%;20;100.00%;98.34%;99.88%
11106;14/06/2023 00:00;15/06/2023 00:00;1Day(s);3013;RNC2013(3013);4287;MAD0001_SECTOR 02;2;MAD0001B4G02;310001;MAD0001B4G;LTE FDD;64752.2117;21.2142;6.5515;6.2218;54.16%;20.98%;2459.0308;2754.3043;8.5293;26.56%;23.7091;-113.2237;36.14;469.4997;-105.9903;15.3107;6.655;7.5115;-18.596;99.65%;14.41%;9.99%;99.65%;99.93%;99.7162;100.00%;25;99.95%;99.36%;99.84%
13383;15/06/2023 00:00;16/06/2023 00:00;1Day(s);3013;RNC2013(3013);4287;MAD0001_SECTOR 02;2;MAD0001B4G02;310001;MAD0001B4G;LTE FDD;55338.7511;21.6212;6.5035;6.136;50.36%;16.62%;2764.7569;2321.6907;8.8536;22.81%;25.3104;-113.1947;36.224;474.3816;-105.4527;13.2971;6.8073;7.5497;-18.4878;99.45%;14.37%;9.76%;99.73%;99.92%;99.8039;100.00%;27;100.00%;99.16%;99.86%
15660;16/06/2023 00:00;17/06/2023 00:00;1Day(s);3013;RNC2013(3013);4287;MAD0001_SECTOR 02;2;MAD0001B4G02;310001;MAD0001B4G;LTE FDD;71743.8951;24.3199;6.635;6.6038;55.30%;19.68%;3314.0896;2620.9997;8.8013;23.13%;27.0257;-112.8712;36.057;464.9839;-105.8114;14.1407;7.3475;7.0287;-18.4722;99.41%;14.65%;10.06%;99.56%;99.89%;99.8234;99.84%;33;100.00%;99.39%;99.80%
2017;10/06/2023 00:00;11/06/2023 00:00;1Day(s);3013;RNC2013(3013);4287;MAD0001_SECTOR 03;3;MAD0001B4G03;310001;MAD0001B4G;LTE FDD;100115.1117;25.6796;7.9465;7.3409;61.10%;21.41%;2771.4083;2537.1603;8.8908;24.05%;29.3295;-110.7303;35.974;450.5105;-103.8623;9.4084;6.124;12.2008;-18.613;99.83%;15.08%;11.65%;99.85%;99.94%;99.9153;100.00%;27;100.00%;80.00%;99.15%
4290;11/06/2023 00:00;12/06/2023 00:00;1Day(s);3013;RNC2013(3013);4287;MAD0001_SECTOR 03;3;MAD0001B4G03;310001;MAD0001B4G;LTE FDD;99687.6119;27.8982;8.6959;8.0561;60.51%;22.33%;2902.7393;2154.0674;9.1295;20.56%;30.0282;-111.1704;36.057;451.904;-104.1538;9.4192;5.4896;15.3048;-18.5041;99.89%;14.92%;11.32%;99.79%;99.92%;99.926;99.94%;61;100.00%;93.75%;99.06%
6563;12/06/2023 00:00;13/06/2023 00:00;1Day(s);3013;RNC2013(3013);4287;MAD0001_SECTOR 03;3;MAD0001B4G03;310001;MAD0001B4G;LTE FDD;104311.2808;29.4638;8.4853;8.0596;58.86%;26.43%;3350.3656;2788.736;9.1327;21.16%;33.5331;-110.9093;36.057;463.0694;-105.1483;13.7001;5.923;14.5004;-18.5127;99.90%;14.99%;11.45%;99.73%;99.91%;99.8836;99.93%;67;99.94%;90.32%;98.78%
8835;13/06/2023 00:00;14/06/2023 00:00;1Day(s);3013;RNC2013(3013);4287;MAD0001_SECTOR 03;3;MAD0001B4G03;310001;MAD0001B4G;LTE FDD;119187.6234;34.3765;10.7789;10.1768;66.55%;31.95%;2579.7366;3201.9748;9.0865;21.55%;32.6376;-108.8242;36.475;466.9063;-105.3409;14.4432;4.4259;18.3918;-18.6083;99.75%;14.74%;11.13%;99.67%;99.84%;99.8292;100.00%;86;100.00%;100.00%;98.81%
11107;14/06/2023 00:00;15/06/2023 00:00;1Day(s);3013;RNC2013(3013);4287;MAD0001_SECTOR 03;3;MAD0001B4G03;310001;MAD0001B4G;LTE FDD;92598.4223;30.2444;9.2112;8.6085;57.70%;22.66%;2487.0106;2721.6155;9.0804;21.17%;29.922;-110.1884;36.475;455.4897;-104.9503;13.6758;5.7411;13.7358;-18.5477;99.60%;14.78%;10.96%;99.75%;99.86%;99.8934;100.00%;31;100.00%;91.30%;99.21%
13384;15/06/2023 00:00;16/06/2023 00:00;1Day(s);3013;RNC2013(3013);4287;MAD0001_SECTOR 03;3;MAD0001B4G03;310001;MAD0001B4G;LTE FDD;83992.2921;27.9743;8.3581;7.7179;49.29%;20.00%;3195.368;2887.4911;9.4534;18.85%;33.9553;-110.1853;37.239;458.0554;-104.352;13.6085;5.8834;14.3792;-18.5058;99.80%;14.73%;10.69%;99.82%;99.92%;99.9071;99.99%;39;100.00%;92.86%;99.16%
15661;16/06/2023 00:00;17/06/2023 00:00;1Day(s);3013;RNC2013(3013);4287;MAD0001_SECTOR 03;3;MAD0001B4G03;310001;MAD0001B4G;LTE FDD;101257.9628;29.5338;8.423;8.15;57.18%;24.65%;3142.7725;2360.2828;9.1776;19.72%;30.799;-110.5392;36.643;461.049;-104.1645;11.5265;5.5107;13.5102;-18.5421;99.91%;14.96%;11.34%;99.66%;99.89%;99.9407;99.83%;40;99.94%;91.67%;98.62%
2022;10/06/2023 00:00;11/06/2023 00:00;1Day(s);3013;RNC2013(3013);4288;MAD0002_SECTOR 01;1;MAD0002B4G01;310002;MAD0002B4G;LTE FDD;39404.585;13.5;5.9146;5.4098;48.26%;25.09%;1542.1484;2180.6318;9.2025;22.11%;32.6512;-96.7907;36.728;358.7087;-109.892;30.3092;3.6991;28.0572;-18.5636;99.49%;12.95%;12.40%;98.77%;99.56%;99.2042;99.99%;30;100.00%;99.84%;97.30%
4295;11/06/2023 00:00;12/06/2023 00:00;1Day(s);3013;RNC2013(3013);4288;MAD0002_SECTOR 01;1;MAD0002B4G01;310002;MAD0002B4G;LTE FDD;42079.3498;13.3088;5.6686;5.329;47.32%;24.25%;2017.0799;2025.138;9.2108;21.25%;32.2448;-96.7545;36.559;366.7495;-110.2954;32.9605;4.5451;24.1725;-18.4868;99.93%;12.88%;11.49%;98.79%;99.67%;99.1166;100.00%;36;99.88%;99.59%;98.08%
6568;12/06/2023 00:00;13/06/2023 00:00;1Day(s);3013;RNC2013(3013);4288;MAD0002_SECTOR 01;1;MAD0002B4G01;310002;MAD0002B4G;LTE FDD;38459.9317;13.8548;5.2347;5.1198;41.64%;23.52%;1974.582;2156.8948;9.1155;24.35%;34.6431;-98.4204;37.325;357.2612;-111.2318;35.5932;5.1551;21.4359;-18.5342;99.73%;12.66%;14.94%;96.61%;99.53%;98.7451;98.30%;91;100.00%;98.77%;97.67%
8840;13/06/2023 00:00;14/06/2023 00:00;1Day(s);3013;RNC2013(3013);4288;MAD0002_SECTOR 01;1;MAD0002B4G01;310002;MAD0002B4G;LTE FDD;51352.9142;13.4627;5.1451;5.2746;47.74%;19.23%;3073.4481;2339.1056;8.6716;27.78%;26.9463;-100.1344;37.239;382.2209;-111.8382;38.8402;3.2072;30.1683;-18.6258;99.87%;13.52%;12.09%;98.74%;99.58%;99.1681;99.99%;120;100.00%;98.95%;96.12%
11112;14/06/2023 00:00;15/06/2023 00:00;1Day(s);3013;RNC2013(3013);4288;MAD0002_SECTOR 01;1;MAD0002B4G01;310002;MAD0002B4G;LTE FDD;36757.2101;12.9436;5.0403;5.088;44.78%;20.16%;2296.6961;1947.272;8.8796;25.85%;25.5747;-99.8293;36.559;385.123;-112.428;38.2473;4.1267;24.2463;-18.5455;99.80%;12.92%;13.47%;98.63%;99.30%;99.3285;99.99%;73;100.00%;99.19%;97.59%
13389;15/06/2023 00:00;16/06/2023 00:00;1Day(s);3013;RNC2013(3013);4288;MAD0002_SECTOR 01;1;MAD0002B4G01;310002;MAD0002B4G;LTE FDD;32923.2397;10.8311;4.1958;4.1745;37.00%;18.11%;2741.1848;2208.7546;8.934;25.98%;28.2224;-101.2125;36.812;380.923;-110.6402;32.8992;5.7757;16.9733;-18.4942;100.00%;13.15%;14.07%;98.98%;99.87%;99.1033;100.00%;26;100.00%;99.88%;97.44%
15666;16/06/2023 00:00;17/06/2023 00:00;1Day(s);3013;RNC2013(3013);4288;MAD0002_SECTOR 01;1;MAD0002B4G01;310002;MAD0002B4G;LTE FDD;33044.0575;10.6482;4.2046;4.1155;39.54%;19.57%;2275.5232;3067.9617;9.3174;23.52%;30.2668;-100.4275;36.475;372.9543;-109.5545;28.4504;5.3006;22.4569;-18.5896;99.88%;12.85%;12.36%;98.58%;99.81%;99.1603;99.61%;49;100.00%;99.31%;98.04%
2023;10/06/2023 00:00;11/06/2023 00:00;1Day(s);3013;RNC2013(3013);4288;MAD0002_SECTOR 02;2;MAD0002B4G02;310002;MAD0002B4G;LTE FDD;49468.4856;20.7244;7.9042;7.6232;65.99%;22.96%;1030.3737;2403.5696;6.8185;50.44%;11.681;-100.4323;37.068;434.7843;-102.1441;6.0392;-0.0871;48.2253;-18.9117;100.00%;14.79%;8.03%;98.79%;99.53%;99.2652;99.99%;101;99.87%;98.42%;99.13%
4296;11/06/2023 00:00;12/06/2023 00:00;1Day(s);3013;RNC2013(3013);4288;MAD0002_SECTOR 02;2;MAD0002B4G02;310002;MAD0002B4G;LTE FDD;46907.9895;19.213;7.0771;6.898;63.33%;23.01%;1207.3231;2655.0065;7.1083;47.68%;13.0966;-101.0759;37.153;444.7214;-103.6096;6.748;0.366;46.1444;-18.8353;100.00%;14.67%;8.20%;99.32%;99.78%;99.5527;99.99%;101;99.82%;97.85%;99.17%
6569;12/06/2023 00:00;13/06/2023 00:00;1Day(s);3013;RNC2013(3013);4288;MAD0002_SECTOR 02;2;MAD0002B4G02;310002;MAD0002B4G;LTE FDD;42797.7302;13.4596;4.8278;4.9476;55.43%;19.01%;1933.537;2143.5321;7.0647;47.95%;9.3264;-101.1327;37.325;500.2487;-103.8127;9.4088;0.7481;41.3326;-18.8276;100.00%;15.00%;8.88%;98.53%;99.44%;99.5499;99.54%;87;100.00%;98.77%;98.36%
8841;13/06/2023 00:00;14/06/2023 00:00;1Day(s);3013;RNC2013(3013);4288;MAD0002_SECTOR 02;2;MAD0002B4G02;310002;MAD0002B4G;LTE FDD;43851.2176;17.0408;6.8992;6.8322;63.40%;22.49%;1117.6464;2332.3776;6.759;51.03%;8.2018;-100.9607;37.153;477.4013;-106.0782;13.5953;-0.2053;48.9283;-18.8268;99.97%;14.57%;7.71%;98.72%;99.37%;99.3657;99.99%;100;100.00%;99.13%;99.18%
11113;14/06/2023 00:00;15/06/2023 00:00;1Day(s);3013;RNC2013(3013);4288;MAD0002_SECTOR 02;2;MAD0002B4G02;310002;MAD0002B4G;LTE FDD;40126.3992;14.8147;5.4759;5.6869;55.20%;20.49%;1655.5859;2033.016;6.9143;49.64%;9.6535;-102.0209;36.728;478.2996;-104.5176;9.4737;1.2158;39.3832;-18.827;100.00%;14.92%;9.65%;98.98%;99.56%;99.4452;99.97%;74;99.85%;98.01%;98.95%
13390;15/06/2023 00:00;16/06/2023 00:00;1Day(s);3013;RNC2013(3013);4288;MAD0002_SECTOR 02;2;MAD0002B4G02;310002;MAD0002B4G;LTE FDD;39221.6785;12.96;4.7046;4.7405;48.69%;15.74%;1998.9284;2573.4665;7.248;46.47%;12.9896;-103.2123;36.728;503.4149;-102.3565;7.6584;2.0085;36.862;-18.7883;100.00%;15.23%;9.09%;99.28%;99.71%;99.5952;99.98%;123;99.83%;98.14%;98.61%
15667;16/06/2023 00:00;17/06/2023 00:00;1Day(s);3013;RNC2013(3013);4288;MAD0002_SECTOR 02;2;MAD0002B4G02;310002;MAD0002B4G;LTE FDD;38246.2389;13.9887;4.9072;4.895;54.54%;16.77%;1493.6273;2275.8817;7.0755;47.82%;10.0873;-102.5854;36.982;483.8632;-102.8925;7.912;0.5265;44.4703;-18.8066;99.92%;15.24%;8.34%;98.81%;99.58%;99.6767;99.55%;89;100.00%;98.40%;98.73%
2024;10/06/2023 00:00;11/06/2023 00:00;1Day(s);3013;RNC2013(3013);4288;MAD0002_SECTOR 03;3;MAD0002B4G03;310002;MAD0002B4G;LTE FDD;51067.3445;19.7107;6.0212;5.6956;59.73%;15.41%;1814.3401;2475.7801;6.3527;55.78%;12.7148;-109.9304;35.892;628.3163;-98.9814;3.563;8.2237;8.0817;-18.7403;99.88%;15.31%;8.72%;99.82%;99.93%;99.8921;100.00%;32;100.00%;99.48%;99.81%
4297;11/06/2023 00:00;12/06/2023 00:00;1Day(s);3013;RNC2013(3013);4288;MAD0002_SECTOR 03;3;MAD0002B4G03;310002;MAD0002B4G;LTE FDD;49593.5112;18.214;5.703;5.3971;57.42%;16.28%;1939.0385;2757.4267;6.4899;54.07%;14.7569;-110.0429;35.563;616.5247;-99.3999;4.2343;7.9044;7.5338;-18.6845;99.88%;15.25%;8.39%;99.76%;99.88%;99.8821;100.00%;27;100.00%;99.14%;99.54%
6570;12/06/2023 00:00;13/06/2023 00:00;1Day(s);3013;RNC2013(3013);4288;MAD0002_SECTOR 03;3;MAD0002B4G03;310002;MAD0002B4G;LTE FDD;52985.7857;19.2055;5.6079;5.324;53.48%;13.94%;2358.1689;2502.4811;6.9339;47.52%;18.0143;-111.3102;36.14;757.884;-101.4353;7.6163;8.5746;8.2657;-18.4739;99.73%;15.42%;9.02%;99.22%;99.82%;99.8287;99.58%;74;99.89%;99.41%;99.40%
8842;13/06/2023 00:00;14/06/2023 00:00;1Day(s);3013;RNC2013(3013);4288;MAD0002_SECTOR 03;3;MAD0002B4G03;310002;MAD0002B4G;LTE FDD;57098.5917;20.1309;7.0043;6.5068;62.53%;16.37%;1631.3567;2477.2183;6.6107;52.57%;20.4762;-111.0043;35.892;589.9281;-101.4013;4.9844;8.2703;10.3493;-18.6862;99.73%;15.17%;8.34%;99.84%;99.91%;99.9342;99.99%;36;100.00%;99.69%;99.62%
11114;14/06/2023 00:00;15/06/2023 00:00;1Day(s);3013;RNC2013(3013);4288;MAD0002_SECTOR 03;3;MAD0002B4G03;310002;MAD0002B4G;LTE FDD;56022.2686;18.149;6.1755;5.7032;57.11%;15.44%;1969.5405;2749.1978;6.7168;50.85%;20.5169;-111.2414;35.727;591.7478;-99.9407;3.4436;9.0634;8.7305;-18.5977;99.70%;15.17%;8.44%;99.86%;99.94%;99.9266;100.00%;14;100.00%;99.90%;99.64%
13391;15/06/2023 00:00;16/06/2023 00:00;1Day(s);3013;RNC2013(3013);4288;MAD0002_SECTOR 03;3;MAD0002B4G03;310002;MAD0002B4G;LTE FDD;55367.0473;17.4699;5.4616;5.125;53.44%;13.15%;2375.646;2830.3408;7.2304;44.11%;18.2556;-111.6865;35.892;640.1099;-98.5334;2.9457;9.591;7.5004;-18.5549;99.76%;15.30%;8.52%;99.82%;99.91%;99.9085;100.00%;21;100.00%;99.50%;99.80%
